num,data
0,689.3664823621511
1,788.5503498353064
2,790.6727558597922
3,770.5682227090001
4,657.097188106738
5,547.2608132124878
6,697.2741942027933
7,725.8743349630386
8,645.6996788606048
9,828.3263776600361
10,768.0124013610184
11,743.7823129678145
12,669.0429739895044
13,785.5420082015917
14,788.2519177151844
15,773.6012673469959
16,683.833245315589
17,673.9749002922326
18,556.0495469174348
19,870.0444395113736
20,723.024448575452
21,643.8246414400637
22,814.7227624841034
23,888.9923368766904
24,746.2224139133468
25,853.2978412834927
26,678.7095025014132
27,651.4924693759531
28,698.7557197269052
29,812.4408176038414
30,768.2823253050447
31,768.9655840620399
32,710.066787742544
33,965.667917849496
34,775.0371492691338
35,580.0004388466477
36,783.803588678129
37,856.2793902771082
38,699.2191855637357
39,624.1410007830709
40,697.7973981276155
41,638.7911379719153
42,823.2158473469317
43,742.0960993655026
44,730.3803653344512
45,593.8296923886519
46,876.3776778549072
47,912.4547123536468
48,779.1583421938121
49,690.4681431055069
50,620.090339049988
51,670.5450077774003
52,694.2744291126728
53,726.6658510221168
54,756.2423642911017
55,708.4173872708343
56,815.2764387633651
57,728.081589915324
58,611.0358053576201
59,591.507751275436
60,805.8262773379683
61,778.287722857669
62,715.3778297307435
63,867.4900812096894
64,718.80903093901
65,833.240356426686
66,877.6184049770236
67,707.7353405570611
68,815.8291547956178
69,739.1607943447307
70,786.4922879897058
71,782.9888407103717
72,891.8998004347086
73,859.7320588808507
74,806.1022788658738
75,818.4538591308519
76,681.1379436790012
77,787.3986544972286
78,879.3505302518606
79,762.7614038072061
80,772.8907501429785
81,820.8001664206386
82,668.8091647131369
83,794.6574536720291
84,775.2225171644241
85,731.9022179245949
86,739.5886802077293
87,675.109937868081
88,606.9694824945182
89,928.0854559801519
90,880.4972448199987
91,612.1681370096048
92,807.2219184665009
93,710.4073180244304
94,642.7410755781457
95,687.6812084559351
96,1017.5561573058367
97,835.408050050959
98,873.3138948883861
99,616.3611736586317
100,484.7599295731634
101,878.6713411530945
102,670.5811394974589
103,799.7489874921739
104,713.7674158085138
105,810.9666529987007
106,769.0779908172553
107,800.4498274028301
108,734.5476365704089
109,833.5658641466871
110,935.7282019816339
111,740.4446097649634
112,704.188318924047
113,688.0865044702077
114,643.4328320156783
115,725.5337843652815
116,806.6378941256553
117,818.3962317164987
118,731.2320570237935
119,604.7573982242029
120,824.2333191465586
121,811.5178348142654
122,956.56037519034
123,708.3475134694017
124,799.8028636500239
125,882.1699246894568
126,753.8870949354023
127,832.4260998740792
128,666.547757582739
129,806.6167497113347
130,899.2566151171923
131,780.6525427317247
132,766.4573112349026
133,887.0419458977412
134,663.1127521209419
135,743.1617257338949
136,830.3555998001248
137,825.0976027362049
138,659.4242405509576
139,779.1682754736394
140,739.042792301625
141,796.8230047784746
142,795.7127177603543
143,714.0957933976315
144,733.8650154899806
145,829.010615721345
146,869.1820743737626
147,815.3890784401447
148,655.8492667749524
149,708.3853027354926
150,893.3576441155747
151,800.0355846351013
152,687.7898905614857
153,801.1291188187897
154,780.942840625532
155,702.3981520775706
156,684.184547232464
157,740.0511735500768
158,844.921492498368
159,595.1184687316418
160,778.2176299178973
161,694.543494777754
162,712.4824505485594
163,664.6271158810705
164,751.9497979511507
165,616.7101447245805
166,825.3367431405932
167,833.5842319140211
168,667.9502921344247
169,820.1098158676177
170,779.8242638632655
171,763.6479217652231
172,657.8552127438597
173,668.0515855401754
174,786.159641123144
