mean_data,mean_reward
758.6819772084933,-270.43833301399997
0.0010384507137537185,-4059.341611706
0.009354814823396737,-4059.3181800180005
0.019207982863685857,-4059.2784988740004
702.6250595307315,-183.06995713400002
663.6249035493952,-155.548215986
645.5311769510097,-127.08464008199999
644.4817688574674,-89.638481898
622.3155774686297,107.75766786799998
640.3588328959453,-49.964623232
628.3363085590494,54.027241708
609.2087010768789,102.16910431400001
622.0017956534633,70.08933917399999
609.9334016909155,184.44588211399997
600.0166170718384,208.00428154199997
592.3378394675125,236.907264906
581.1403422818214,237.12958141599998
561.7971689856199,281.095744782
544.4524717620387,313.273523828
533.1848282390542,322.062883356
502.282720854652,300.78462516199994
500.44581994156283,325.150966498
513.2991980845458,386.238722854
529.8773295508627,373.17274638400005
587.1267833353165,473.44993366
599.8804711941078,436.017972052
636.9133440214881,535.8985803019999
636.722056702178,468.822006636
627.1415405113257,461.65097895200006
666.9297842973939,524.220230962
633.0596966361154,461.657376354
610.5936408256952,526.5045741739999
684.168781532249,539.1276859359999
657.3761598485229,515.164728232
681.9020866421718,544.2718125060001
677.8419863598075,556.947390842
671.334719560808,582.437867302
667.5527246340846,577.215074146
666.3721569171051,570.59044776
654.9883748168422,518.8863114440001
655.2573929654609,520.630188142
673.4105353353505,520.6706668100001
696.7676026889244,538.8565726439999
679.3207774408747,521.0400395759999
664.8351018909716,565.4705540660001
695.4965304059057,582.438080528
679.7696496074975,566.9372762419999
664.3119683688064,547.044491806
682.184635190209,563.057901062
678.2822866881536,542.3853710940001
659.2583010311517,527.75385694
681.8714630478779,553.2803257279999
687.3608175532249,556.456906768
678.7638550882273,539.497295736
692.4581047672971,570.027087218
698.068487499089,562.121627324
677.6973174369078,543.1952051000001
692.2157807246336,566.3497062480001
690.7474875845932,566.0223474280001
672.9737969933411,546.617008942
683.5294194270349,558.262852142
673.490450025617,548.56400895
686.12099766309,553.084982052
677.8374545648038,552.3227075699999
675.2310960299272,557.5571353739999
675.7357994256655,545.715323082
658.0039155155681,523.4530819780001
677.2297782151809,555.326052228
671.1200700054285,552.620527964
680.0663821466275,563.51458827
663.2099203542585,541.458885342
672.4620472568885,553.4227658279999
664.9620575147616,548.8631337959999
668.6222444910695,541.774985928
670.369118408423,550.6526617
666.2607693786696,546.5898235120001
675.0674125174708,556.641283726
659.1434465455515,543.2221081119999
677.6545213341683,554.2858734840001
674.5987970100585,558.2854759319999
676.1975002449307,557.8893996099999
657.592344511892,544.341913218
660.181278104115,545.7293363880001
686.6265909497247,570.691646716
678.9702096542509,551.078822522
673.2055272691988,563.5852942820001
668.4829311945845,563.610340138
675.3144851882008,553.2163416039999
675.6870993204901,568.04945345
681.2928484301567,556.235275378
665.9337507638378,558.7193463399999
673.2143696603493,558.5983776740001
674.6331167456782,571.936742524
673.9308150064168,558.820542226
663.953159922659,571.584245552
676.2991440945948,561.329244122
689.7969932022603,579.990055278
676.8283450285063,566.5306165799999
657.986697286955,570.493786322
657.9792400352483,558.0683142880001
658.2424761783953,569.001197452
661.8934254504954,567.727066134
683.5174017605462,583.4499542320001
678.1942688608307,588.0946979759999
672.3917922172806,574.889244222
673.5628978659461,574.9866310460001
664.2273068707013,564.623162382
668.4366581144156,558.027221982
678.4685335631932,567.316508614
666.3092543569696,566.595701392
674.1400723968093,578.3116400220001
681.8083652208364,584.7226620100001
665.2451471177169,570.8163274039999
650.4150805856285,561.938710528
664.4408371885381,588.89414399
653.3376824679173,581.774446154
630.9981919416342,544.914524188
645.7597371694781,565.172776298
660.9458128843543,578.1440794140001
649.008049841557,575.0357894880001
661.6651443484102,588.2024243000001
645.7304570321303,576.884894692
652.3761791537914,563.099199156
665.8940461325843,599.239028942
650.6853177546006,580.9223149659999
651.269313769287,568.496668586
664.721562217522,598.62047504
674.3002599247658,593.725525446
661.9541450446043,587.4658818580001
649.4075388938777,572.23123922
658.0139404555182,590.972128358
666.08916145513,588.9288276760001
652.5359471672895,568.4347920719999
656.1182447374651,589.637798948
626.5613271240786,563.269967412
660.2533643476198,602.497526252
660.5322272990182,598.1527136540001
653.8317366846027,588.125224684
647.0349659334971,577.854971232
666.5040960314388,601.477915112
687.1850521901204,576.108777248
645.6803222360489,579.8522846200001
641.9962779355764,568.7983722939999
673.304077432077,597.283747166
681.572892645823,610.9749148
662.4113867331838,604.730534262
658.0405059706036,588.4930651059999
644.327470448062,578.543256914
659.7047336128761,594.9721072919999
650.7538500174343,581.52688411
667.9709285686722,601.5849466239999
679.5520812630133,525.4402130839999
663.9683457099735,547.1942627880001
665.3185967187169,567.0816926220001
651.5847098948441,570.571081358
658.3212520600731,576.9999084340001
668.1400944606706,606.0368675220001
667.1058204401287,589.524523664
660.4281478540422,588.1528387899999
669.4816948844787,587.088728686
697.6727132429625,585.940450556
688.7814429732188,551.8739000859999
684.5071855323807,589.5873233720001
676.7435895345042,576.247620594
681.0636404764998,584.6694199379999
642.3398189621719,580.0812987659999
671.4949711275157,601.509150168
655.0106899638952,590.9585386419999
667.645557365065,562.195517702
663.1004964319472,567.059611596
677.3815968534791,599.1887950519999
680.605622117543,602.4373217279999
661.1737396828297,573.393728814
687.8279259488902,568.992672344
674.7262049839678,592.4794528000001
671.0962762543572,603.772291536
686.103181598125,622.2698408719999
678.5784413906978,621.041679408
675.0361234402606,616.1654517900001
690.0526784211629,628.130989428
655.7610799419051,592.1454846119999
633.8795566250188,574.1311446179999
668.4727592393714,602.964139474
670.7285248046761,611.82095999
699.4293398183999,598.128240328
667.7880528181012,604.9011949759999
658.5977778683092,596.419401466
665.5886953137614,608.262203758
686.9728108977422,629.361046518
673.0559715454108,615.359755756
674.8612910665744,615.878230272
