mean_data,mean_reward
908.4202287514178,468.5638382
0.08654202041766877,-434.45896030599994
0.1423121129068263,-434.479725654
0.10188429727537937,-434.786468954
0.051591614394553516,-434.74522939
0.031397916441312644,-434.720957254
0.012984501508539324,-434.77475878999996
0.010768648328447625,-434.704201842
0.00043983180046620874,-434.321905886
3.254883520162366e-05,-434.249516226
2.441708469268633e-05,-434.248263682
2.185230924806092e-05,-434.24783088799995
2.0048451830007252e-05,-434.247519726
1.9171992673364004e-05,-434.24736523999997
1.8563938312581742e-05,-434.24725184799996
1.7934298279669747e-05,-434.24712923
1.3676409125309874e-05,-434.247077122
9.880561467753069e-06,-434.247033176
8.008892341194951e-06,-434.247010624
6.1340296658727315e-06,-434.24698803999996
4.992281631302831e-06,-434.246974504
4.049826406117063e-06,-434.246963276
3.233814200939378e-06,-434.246953714
2.7333721409377177e-06,-434.24694790399997
2.2930077866476494e-06,-434.24694268999997
2.0395025676407387e-06,-434.24693979799997
1.717220364298555e-06,-434.24693618
1.4851578962407074e-06,-434.24693351
1.3433350250124931e-06,-434.24693183799997
1.1628222418949007e-06,-434.24692983600005
8.984834844341094e-07,-434.24692681600004
8.146643945110554e-07,-434.246925864
7.050512208479631e-07,-434.246924662
5.975837625555869e-07,-434.246923422
5.180559924156114e-07,-434.24692249799995
4.4927290832674774e-07,-434.246921716
4.1058199963117657e-07,-434.246921286
3.6329256613498726e-07,-434.246920728
3.396476829493622e-07,-434.246920446
3.0525459146701907e-07,-434.24692006
2.708611198158906e-07,-434.24691969
2.3216806471282326e-07,-434.24691923200004
1.9562433476494333e-07,-434.24691877399994
1.7842698912318157e-07,-434.246918598
1.6122958049891168e-07,-434.24691842
1.3973282193546764e-07,-434.246918186
1.2468490922401543e-07,-434.246918036
1.0963701379296253e-07,-434.24691788399997
9.88884671642154e-08,-434.246917766
9.028960948853637e-08,-434.24691764999994
8.169071543306927e-08,-434.246917556
7.094202624102763e-08,-434.24691746200006
6.449282113862865e-08,-434.246917396
5.804360148431442e-08,-434.24691732799994
5.159437091606378e-08,-434.246917252
4.5145125795897914e-08,-434.246917176
3.869586248583801e-08,-434.246917122
3.439634997448593e-08,-434.246917074
3.224659008083108e-08,-434.24691703999997
3.009682836818683e-08,-434.246917014
2.794706483655318e-08,-434.24691699199997
2.1497751731658353e-08,-434.246916954
1.934798274305649e-08,-434.246916922
1.7198213754454626e-08,-434.24691688999997
1.504844294686336e-08,-434.246916876
1.289867032028269e-08,-434.24691686200003
1.289867032028269e-08,-434.24691683599997
1.0748895874712616e-08,-434.24691681999997
8.599119610153139e-09,-434.24691680999996
8.599119610153139e-09,-434.2469168079999
8.599119610153139e-09,-434.246916796
8.599119610153139e-09,-434.246916792
6.449341981351609e-09,-434.246916784
6.449341981351609e-09,-434.24691676599997
6.449341981351609e-09,-434.246916764
4.2995629883080255e-09,-434.24691676
4.2995629883080255e-09,-434.246916756
4.2995629883080255e-09,-434.246916748
4.2995629883080255e-09,-434.24691674200005
4.2995629883080255e-09,-434.246916736
2.1497824036487147e-09,-434.246916736
2.1497824036487147e-09,-434.24691673399997
2.1497824036487147e-09,-434.24691672999995
2.1497824036487147e-09,-434.246916728
2.1497824036487147e-09,-434.24691672600005
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671799997
2.1497824036487147e-09,-434.24691671599993
2.1497824036487147e-09,-434.24691671599993
2.1497824036487147e-09,-434.24691671599993
2.1497824036487147e-09,-434.246916714
0.0,-434.24691671799997
0.0,-434.246916716
0.0,-434.246916714
0.0,-434.246916712
0.0,-434.246916712
0.0,-434.246916708
0.0,-434.246916706
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
0.0,-434.246916702
